Document,DI,TotalCitation,TCperYear,NormalizedTC
"Gerdes A., 2024, Discover Artificial Intelligence",10.1007/s44163-024-00119-2,0,0.0,0.0
"Getahun M.S., 2024, Discover Social Science and Health",10.1007/s44155-024-00072-6,0,0.0,0.0
"Ghadi Y.Y., 2024, Journal of Cloud Computing",10.1186/s13677-024-00654-4,0,0.0,0.0
"Ghatak S., 2024, BMC Pregnancy and Childbirth",10.1186/s12884-024-06445-8,0,0.0,0.0
"Girela-Lopez E., 2024, BMC Medical Ethics",10.1186/s12910-024-01041-z,0,0.0,0.0
"Gleason-Comstock J., 2024, Substance Abuse: Treatment, Prevention, and Policy",10.1186/s13011-024-00601-1,0,0.0,0.0
"Glette M.K., 2024, BMC Health Services Research",10.1186/s12913-024-10935-y,0,0.0,0.0
"Gloeckl R., 2024, Sports Medicine - Open",10.1186/s40798-024-00695-8,0,0.0,0.0
"Glover A., 2024, BMC Pregnancy and Childbirth",10.1186/s12884-024-06491-2,0,0.0,0.0
"Gobezie M.Y., 2024, Antimicrobial Resistance and Infection Control",10.1186/s13756-024-01389-2,0,0.0,0.0
"Gombault-Datzenko E., 2024, BMC Geriatrics",10.1186/s12877-024-04946-x,0,0.0,0.0
"González-Fernández L., 2024, Breast Cancer Research",10.1186/s13058-024-01806-9,0,0.0,0.0
"Gonçalves Lomardo P., 2024, BMC Oral Health",10.1186/s12903-024-03996-2,0,0.0,0.0
"Graul E.L., 2024, BMC Pulmonary Medicine",10.1186/s12890-024-03035-4,0,0.0,0.0
"Greco S., 2024, Cardiovascular Diabetology",10.1186/s12933-024-02245-8,0,0.0,0.0
"Greenhalgh T., 2024, BMC Medicine",10.1186/s12916-024-03371-6,0,0.0,0.0
"Griffin E., 2024, Journal of Headache and Pain",10.1186/s10194-024-01749-8,0,0.0,0.0
"Griva K., 2024, BMC Health Services Research",10.1186/s12913-024-10830-6,0,0.0,0.0
"Gu J., 2024, BMC Public Health",10.1186/s12889-024-18435-8,0,0.0,0.0
"Gu J., 2024, Scientific Reports",10.1038/s41598-024-58719-y,0,0.0,0.0
"Gu L., 2024, BMC Geriatrics",10.1186/s12877-024-04870-0,0,0.0,0.0
"Gu S., 2024, Health Economics Review",10.1186/s13561-024-00499-2,0,0.0,0.0
"Gudjonsdottir H., 2024, BMC Medicine",10.1186/s12916-024-03393-0,0,0.0,0.0
"Guo Y., 2024, Health Economics Review",10.1186/s13561-024-00496-5,0,0.0,0.0
"Gupta P., 2024, BMC Public Health",10.1186/s12889-024-18635-2,0,0.0,0.0
"Guzzi G., 2024, Journal of Anesthesia, Analgesia and Critical Care",10.1186/s44158-024-00167-1,0,0.0,0.0
"Gwanika Y., 2024, BMC Cancer",10.1186/s12885-024-12168-y,0,0.0,0.0
"Habte A., 2024, Reproductive Health",10.1186/s12978-024-01782-5,0,0.0,0.0
"Hackl E., 2024, Discover Artificial Intelligence",10.1007/s44163-023-00099-9,0,0.0,0.0
"Hadida L., 2024, Health and Justice",10.1186/s40352-024-00275-8,0,0.0,0.0
"Hadizadeh-Talasaz Z., 2024, Avicenna Journal of Nursing and Midwifery Care",10.32592/ajnmc.32.1.12,0,0.0,0.0
"Hager A.-G.M., 2024, BMC Geriatrics",10.1186/s12877-024-04927-0,0,0.0,0.0
"Hailu G.N., 2024, BMC Geriatrics",10.1186/s12877-024-04924-3,0,0.0,0.0
"HajiEsmailpoor Z., 2024, Discover Oncology",10.1007/s12672-024-00929-x,0,0.0,0.0
"Hala S., 2024, Genome Medicine",10.1186/s13073-024-01332-5,0,0.0,0.0
"Hall M.J., 2024, BMC Cancer",10.1186/s12885-024-12184-y,0,0.0,0.0
"Halvorsen M.S., 2024, International Journal of Mental Health Systems",10.1186/s13033-024-00632-y,0,0.0,0.0
"Hamid Z., 2024, BMC Medical Informatics and Decision Making",10.1186/s12911-024-02512-4,0,0.0,0.0
"Han Z., 2024, BMC Medical Education",10.1186/s12909-024-05254-z,0,0.0,0.0
"Hansen M.C., 2024, Trials",10.1186/s13063-024-08096-8,0,0.0,0.0
"Harada S., 2024, Scientific Reports",10.1038/s41598-024-59596-1,0,0.0,0.0
"Hardaker N., 2024, BMC Neurology",10.1186/s12883-024-03653-9,0,0.0,0.0
"Haresaku S., 2024, BMC Medical Education",10.1186/s12909-024-05227-2,0,0.0,0.0
"Harkus S., 2024, BMC Primary Care",10.1186/s12875-024-02307-6,0,0.0,0.0
"Harris S.R., 2024, BMC Health Services Research",10.1186/s12913-024-10946-9,0,0.0,0.0
"Harrison H., 2024, BMC Medical Research Methodology",10.1186/s12874-024-02175-9,0,0.0,0.0
"Hashempour R., 2024, BMC Health Services Research",10.1186/s12913-024-10873-9,0,0.0,0.0
"Hassan H.I., 2024, Journal of Orthopaedic Surgery and Research",10.1186/s13018-024-04735-7,0,0.0,0.0
"Hayashi A., 2024, BMC Nephrology",10.1186/s12882-024-03550-w,0,0.0,0.0
"Hayrumyan V., 2024, BMC Primary Care",10.1186/s12875-024-02377-6,0,0.0,0.0
"Hazen A.C.M., 2024, BMC Health Services Research",10.1186/s12913-024-10703-y,0,0.0,0.0
"He X., 2024, BMC Nursing",10.1186/s12912-024-01945-6,0,0.0,0.0
"Heidkamp P., 2024, BMC Women's Health",10.1186/s12905-024-03012-3,0,0.0,0.0
"Hemo O., 2024, Urolithiasis",10.1007/s00240-024-01560-9,0,0.0,0.0
"Hennrich J., 2024, BMC Health Services Research",10.1186/s12913-024-10894-4,0,0.0,0.0
"Hernandez C., 2024, Cost Effectiveness and Resource Allocation",10.1186/s12962-024-00536-1,0,0.0,0.0
"Herreros B., 2024, Philosophy, Ethics, and Humanities in Medicine",10.1186/s13010-024-00155-x,0,0.0,0.0
"Hertz J.T., 2024, BMC Health Services Research",10.1186/s12913-024-10831-5,0,0.0,0.0
"Hesgrove B., 2024, BMC Health Services Research",10.1186/s12913-024-10984-3,0,0.0,0.0
"Hinkes S., 2024, Harm Reduction Journal",10.1186/s12954-024-00982-3,0,0.0,0.0
"Hjorth M., 2024, BMC Nursing",10.1186/s12912-024-01934-9,0,0.0,0.0
"Hlongwa M., 2024, BMC Public Health",10.1186/s12889-024-18660-1,0,0.0,0.0
"Hodges B., 2024, Journal of Medical Case Reports",10.1186/s13256-024-04496-1,0,0.0,0.0
"Hodgson S., 2024, BMC Health Services Research",10.1186/s12913-024-10973-6,0,0.0,0.0
"Hodson N., 2024, Implementation Science",10.1186/s13012-024-01362-y,0,0.0,0.0
"Hofmann B.M., 2024, BMC Health Services Research",10.1186/s12913-024-10869-5,0,0.0,0.0
"Holbrook A., 2024, Pilot and Feasibility Studies",10.1186/s40814-024-01484-6,0,0.0,0.0
"Holstad Y., 2024, International Breastfeeding Journal",10.1186/s13006-024-00627-y,0,0.0,0.0
"Hooker C., 2024, BMC Health Services Research",10.1186/s12913-024-10961-w,0,0.0,0.0
"Hoover A., 2024, BMC Research Notes",10.1186/s13104-024-06768-x,0,0.0,0.0
"Hosseinpour A., 2024, BMC Nursing",10.1186/s12912-024-01786-3,0,0.0,0.0
"Hoteit R., 2024, Health Research Policy and Systems",10.1186/s12961-024-01131-9,0,0.0,0.0
"Hough K., 2024, Research Involvement and Engagement",10.1186/s40900-024-00567-1,0,0.0,0.0
"Houpert R., 2024, BMC Public Health",10.1186/s12889-024-18633-4,0,0.0,0.0
"Hourigan D., 2024, BMC Microbiology",10.1186/s12866-024-03243-2,0,0.0,0.0
"Hu F., 2024, BMC Public Health",10.1186/s12889-024-18558-y,0,0.0,0.0
"Huang A., 2024, BMC Health Services Research",10.1186/s12913-024-10882-8,0,0.0,0.0
"Huang J., 2024, npj Digital Medicine",10.1038/s41746-024-01079-8,0,0.0,0.0
"Huang W., 2024, BMC Health Services Research",10.1186/s12913-024-10861-z,0,0.0,0.0
"Hubeishy M.H., 2024, Implementation Science Communications",10.1186/s43058-024-00568-x,0,0.0,0.0
"Huelsboemer L., 2024, Military Medical Research",10.1186/s40779-024-00528-5,0,0.0,0.0
"Hui A., 2024, BMC Pediatrics",10.1186/s12887-024-04661-x,0,0.0,0.0
"Hyatt A., 2024, BMC Health Services Research",10.1186/s12913-024-10876-6,0,0.0,0.0
"Idsøe-Jakobsen I., 2024, BMC Health Services Research",10.1186/s12913-024-10808-4,0,0.0,0.0
"Iezadi S., 2024, BMC Health Services Research",10.1186/s12913-024-10854-y,0,0.0,0.0
"Iloson C., 2024, BMC Psychiatry",10.1186/s12888-024-05652-z,0,0.0,0.0
"Imtiyaz B.S., 2024, American journal of disaster medicine",10.5055/ajdm.0452,0,0.0,0.0
"Ingvarsson E., 2024, BMC Health Services Research",10.1186/s12913-024-11039-3,0,0.0,0.0
"Irrera O., 2024, BMC Bioinformatics",10.1186/s12859-024-05730-9,0,0.0,0.0
"Islam M.T., 2024, BMC Health Services Research",10.1186/s12913-024-10789-4,0,0.0,0.0
"Ivanova D., 2024, Chiropractic and Manual Therapies",10.1186/s12998-023-00527-8,0,0.0,0.0
"Izadi M., 2024, BMC Health Services Research",10.1186/s12913-024-10866-8,0,0.0,0.0
"Jabbarzadeh-Ganjeh B., 2024, BMC Public Health",10.1186/s12889-024-18568-w,0,0.0,0.0
"Jafarpour D., 2024, Trials",10.1186/s13063-024-08097-7,0,0.0,0.0
"Jairoun A.A., 2024, Scientific Reports",10.1038/s41598-024-56765-0,0,0.0,0.0
"Jakobsen S.G., 2024, BMC Primary Care",10.1186/s12875-024-02393-6,0,0.0,0.0
"James C., 2024, BMC Health Services Research",10.1186/s12913-024-10931-2,0,0.0,0.0
"Janssens O., 2024, BMC Medical Education",10.1186/s12909-024-05428-9,0,0.0,0.0
"Jarab A.S., 2024, Antimicrobial Resistance and Infection Control",10.1186/s13756-024-01382-9,0,0.0,0.0
"Jarlenski M., 2024, BMC Health Services Research",10.1186/s12913-024-10982-5,0,0.0,0.0
"Jeganathan G., 2024, BMC Primary Care",10.1186/s12875-024-02369-6,0,0.0,0.0
"Jehloh L., 2024, BMC Nursing",10.1186/s12912-024-01943-8,0,0.0,0.0
"Jenkins D.R., 2024, BMC Infectious Diseases",10.1186/s12879-024-09307-y,0,0.0,0.0
"Jesser A., 2024, BMC Psychology",10.1186/s40359-024-01714-9,0,0.0,0.0
"Jeszka J., 2024, Journal of Physiological Anthropology",10.1186/s40101-024-00359-2,0,0.0,0.0
"Jiang J.J., 2024, BMC Medical Education",10.1186/s12909-024-05070-5,0,0.0,0.0
"Jobalayeva B., 2024, Human Resources for Health",10.1186/s12960-024-00905-0,0,0.0,0.0
"Johansson B., 2024, BMC Cancer",10.1186/s12885-024-12273-y,0,0.0,0.0
"Johnson T., 2024, Scientific Reports",10.1038/s41598-024-56771-2,0,0.0,0.0
"Jones C.H., 2024, npj Aging",10.1038/s41514-024-00148-2,0,0.0,0.0
"Jonsdottir S.L., 2024, Scientific Reports",10.1038/s41598-024-57656-0,0,0.0,0.0
"Joseph A.O., 2024, BMC Medical Education",10.1186/s12909-024-05313-5,0,0.0,0.0
"Jouanny C., 2024, BMC Women's Health",10.1186/s12905-024-03063-6,0,0.0,0.0
"Jouffroy R., 2024, Annals of Intensive Care",10.1186/s13613-024-01282-6,0,0.0,0.0
"Jovanovic A., 2024, Orphanet Journal of Rare Diseases",10.1186/s13023-024-03131-y,0,0.0,0.0
"Jönsson L., 2024, Journal of Headache and Pain",10.1186/s10194-024-01752-z,0,0.0,0.0
"Jønsson A.B.R., 2024, BMC Primary Care",10.1186/s12875-024-02338-z,0,0.0,0.0
"KC S., 2024, BMC Health Services Research",10.1186/s12913-024-10724-7,0,0.0,0.0
"Kaddoura R., 2024, Population Health Metrics",10.1186/s12963-024-00325-1,0,0.0,0.0
"Kaggiah A., 2024, BMC Infectious Diseases",10.1186/s12879-024-09309-w,0,0.0,0.0
"Kajos L.F., 2024, Scientific Reports",10.1038/s41598-024-60720-4,0,0.0,0.0
"Kallay R., 2024, BMC Public Health",10.1186/s12889-024-18642-3,0,0.0,0.0
"Kalman J.L., 2024, European Psychiatry",10.1192/j.eurpsy.2023.2466,0,0.0,0.0
"Kamari F., 2024, Scientific Reports",10.1038/s41598-024-59068-6,0,0.0,0.0
"Karanja P.W., 2024, Implementation Science Communications",10.1186/s43058-024-00565-0,0,0.0,0.0
"Karimi A.H., 2024, Arthroplasty",10.1186/s42836-024-00244-4,0,0.0,0.0
"Karlsson E.A., 2024, BMC Medical Education",10.1186/s12909-024-05458-3,0,0.0,0.0
"Kasa A.S., 2024, BMC Geriatrics",10.1186/s12877-024-04909-2,0,0.0,0.0
"Kassam A.S., 2024, Schizophrenia",10.1038/s41537-024-00461-5,0,0.0,0.0
"Kassie A.M., 2024, BMC Health Services Research",10.1186/s12913-024-10850-2,0,0.0,0.0
"Kates J., 2024, BMC Palliative Care",10.1186/s12904-024-01433-3,0,0.0,0.0
"Katsoulakis E., 2024, npj Digital Medicine",10.1038/s41746-024-01073-0,0,0.0,0.0
"Katushabe J., 2024, Malaria Journal",10.1186/s12936-024-04929-8,0,0.0,0.0
"Kautzky A., 2024, Biology of Sex Differences",10.1186/s13293-024-00609-z,0,0.0,0.0
"Kawabata T., 2024, Scientific Reports",10.1038/s41598-024-58656-w,0,0.0,0.0
"Keegan G., 2024, BMC Public Health",10.1186/s12889-024-18352-w,0,0.0,0.0
"Keicher F., 2024, BMC Medical Education",10.1186/s12909-024-05309-1,0,0.0,0.0
"Kent-Marvick J., 2024, Discover Social Science and Health",10.1007/s44155-024-00078-0,0,0.0,0.0
"Keshavarzi A., 2024, Cost Effectiveness and Resource Allocation",10.1186/s12962-024-00542-3,0,0.0,0.0
"Khajoei R., 2024, BMC Health Services Research",10.1186/s12913-024-10939-8,0,0.0,0.0
"Khalili G., 2024, Scientific Reports",10.1038/s41598-024-56606-0,0,0.0,0.0
"Khan M.N., 2024, BMC Health Services Research",10.1186/s12913-024-10824-4,0,0.0,0.0
"Khan U.I., 2024, BMC Health Services Research",10.1186/s12913-024-11012-0,0,0.0,0.0
"Khanpoor H., 2024, BMC Medical Education",10.1186/s12909-024-05355-9,0,0.0,0.0
"Kheimi A.M., 2024, American journal of disaster medicine",10.5055/ajdm.0454,0,0.0,0.0
"Kheradmand J.A., 2024, Health in Emergencies and Disasters Quarterly",10.32598/hdq.9.2.524.1,0,0.0,0.0
"Khoo C.M.J., 2024, Scientific Reports",10.1038/s41598-024-59195-0,0,0.0,0.0
"Khoshakhlagh A.H., 2024, Globalization and Health",10.1186/s12992-024-01040-0,0,0.0,0.0
"Kihlgren A., 2024, BMC Geriatrics",10.1186/s12877-024-04903-8,0,0.0,0.0
"Kilpatrick C., 2024, Antimicrobial Resistance and Infection Control",10.1186/s13756-024-01391-8,0,0.0,0.0
"Kim D., 2024, Communications Materials",10.1038/s43246-024-00480-w,0,0.0,0.0
"Kim D.-H., 2024, BMC Infectious Diseases",10.1186/s12879-024-09167-6,0,0.0,0.0
"Kim P.C., 2024, BMC Health Services Research",10.1186/s12913-024-10797-4,0,0.0,0.0
"Kim T., 2024, Scientific Reports",10.1038/s41598-024-58398-9,0,0.0,0.0
"Kim T.V., 2024, BMC Infectious Diseases",10.1186/s12879-024-09326-9,0,0.0,0.0
"King W.M., 2024, BMC Public Health",10.1186/s12889-024-18317-z,0,0.0,0.0
"Kirbaş Z.Ö., 2024, BMC Pregnancy and Childbirth",10.1186/s12884-024-06438-7,0,0.0,0.0
"Kirchmayer U., 2024, BMC Nephrology",10.1186/s12882-024-03539-5,0,0.0,0.0
"Kletter M., 2024, BMC Health Services Research",10.1186/s12913-024-10686-w,0,0.0,0.0
"Ko E., 2024, BMC Nursing",10.1186/s12912-024-01901-4,0,0.0,0.0
"Kobryn M., 2024, BMC Public Health",10.1186/s12889-024-18399-9,0,0.0,0.0
"Kohanmoo A., 2024, Journal of Health, Population and Nutrition",10.1186/s41043-024-00533-3,0,0.0,0.0
"Kohanmoo A., 2024, Scientific Reports",10.1038/s41598-024-58801-5,0,0.0,0.0
"Komijan A.R., 2024, International Journal of Computational Intelligence Systems",10.1007/s44196-024-00487-8,0,0.0,0.0
"Kornhauser T., 2024, BMC Ophthalmology",10.1186/s12886-024-03417-6,0,0.0,0.0
"Korona-Bailey J., 2024, BMC Public Health",10.1186/s12889-024-18357-5,0,0.0,0.0
"Kothinti S., 2024, Eurasip Journal on Audio, Speech, and Music Processing",10.1186/s13636-024-00339-5,0,0.0,0.0
"Krczal E., 2024, BMC Health Services Research",10.1186/s12913-024-10930-3,0,0.0,0.0
"Kreca S.M., 2024, Patient Safety in Surgery",10.1186/s13037-024-00399-8,0,0.0,0.0
"Kresevic S., 2024, npj Digital Medicine",10.1038/s41746-024-01091-y,0,0.0,0.0
"Krijger A., 2024, BMC Health Services Research",10.1186/s12913-024-10997-y,0,0.0,0.0
"Kristoffersen A.E., 2024, BMC Nutrition",10.1186/s40795-024-00872-8,0,0.0,0.0
"Krstic M., 2024, Health Economics Review",10.1186/s13561-024-00507-5,0,0.0,0.0
"Krstic S., 2024, BMC Health Services Research",10.1186/s12913-024-10790-x,0,0.0,0.0
"Kuczawski M., 2024, BMC Nursing",10.1186/s12912-024-01843-x,0,0.0,0.0
"Kulhánová I., 2024, BMC Women's Health",10.1186/s12905-024-03053-8,0,0.0,0.0
"Kulkarni C., 2024, BMC Medical Informatics and Decision Making",10.1186/s12911-024-02495-2,0,0.0,0.0
"Kumah E., 2024, Health Policy OPEN",10.1016/j.hpopen.2024.100119,0,0.0,0.0
"Kumar A., 2024, Scientific Reports",10.1038/s41598-024-57641-7,0,0.0,0.0
"Kumari R., 2024, Egyptian Heart Journal",10.1186/s43044-024-00463-9,0,0.0,0.0
"Kuo K.-M., 2024, BMC Medical Informatics and Decision Making",10.1186/s12911-024-02503-5,0,0.0,0.0
"Kuri A., 2024, BMC Neurology",10.1186/s12883-024-03598-z,0,0.0,0.0
"Kusudo M., 2024, Scientific Reports",10.1038/s41598-024-56679-x,0,0.0,0.0
"König E., 2024, Antimicrobial Resistance and Infection Control",10.1186/s13756-024-01397-2,0,0.0,0.0
"Laffont-Lozes P., 2024, Antimicrobial Resistance and Infection Control",10.1186/s13756-024-01387-4,0,0.0,0.0
"Lai Y.K., 2024, BMC Psychology",10.1186/s40359-024-01701-0,0,0.0,0.0
"Lajore B.A., 2024, BMC Health Services Research",10.1186/s12913-024-10911-6,0,0.0,0.0
"Lalande E., 2024, BMC Women's Health",10.1186/s12905-024-03025-y,0,0.0,0.0
"Lamberti-Castronuovo A., 2024, Conflict and Health",10.1186/s13031-024-00595-4,0,0.0,0.0
"Lan L., 2024, Scientific Reports",10.1038/s41598-024-56077-3,0,0.0,0.0
"Landers C., 2024, npj Digital Medicine",10.1038/s41746-024-01105-9,0,0.0,0.0
"Landguth E.L., 2024, Environmental Health: A Global Access Science Source",10.1186/s12940-024-01082-2,0,0.0,0.0
"Laupichler M.C., 2024, BMC Medical Education",10.1186/s12909-024-05400-7,0,0.0,0.0
"Lee J.K., 2024, Archives of Osteoporosis",10.1007/s11657-024-01375-6,0,0.0,0.0
"Lee J.T., 2024, Human Resources for Health",10.1186/s12960-024-00895-z,0,0.0,0.0
"Lee K.-S., 2024, BMC Emergency Medicine",10.1186/s12873-024-00968-1,0,0.0,0.0
"Lee K.-S., 2024, BMC Public Health",10.1186/s12889-024-18361-9,0,0.0,0.0
"Leese C.J., 2024, BMC Primary Care",10.1186/s12875-024-02345-0,0,0.0,0.0
"Lehr F.-X., 2024, npj Microgravity",10.1038/s41526-024-00378-4,0,0.0,0.0
"Lendino A., 2024, BMC Microbiology",10.1186/s12866-024-03257-w,0,0.0,0.0
"Lesego A., 2024, BMC Health Services Research",10.1186/s12913-024-11028-6,0,0.0,0.0
"Lett C., 2024, Trials",10.1186/s13063-024-08068-y,0,0.0,0.0
"Levi H., 2024, BMC Emergency Medicine",10.1186/s12873-024-00964-5,0,0.0,0.0
"Levy A.M., 2024, BMC Health Services Research",10.1186/s12913-024-10912-5,0,0.0,0.0
"Lewis H., 2024, BMC Palliative Care",10.1186/s12904-024-01400-y,0,0.0,0.0
"Li F., 2024, BMC Pediatrics",10.1186/s12887-024-04776-1,0,0.0,0.0
"Li H., 2024, Nutrition Journal",10.1186/s12937-024-00942-4,0,0.0,0.0
"Li J., 2024, BMC Health Services Research",10.1186/s12913-024-10856-w,0,0.0,0.0
"Li J., 2024, Journal of Big Data",10.1186/s40537-024-00929-2,0,0.0,0.0
"Li Q., 2024, BMC Medical Education",10.1186/s12909-024-05131-9,0,0.0,0.0
"Li S., 2024, BMC Medical Genomics",10.1186/s12920-024-01891-x,0,0.0,0.0
"Li X., 2024, BMC Public Health",10.1186/s12889-024-18392-2,0,0.0,0.0
"Li Y., 2024, BMC Cancer",10.1186/s12885-024-12295-6,0,0.0,0.0
"Li Z., 2024, BMC Psychiatry",10.1186/s12888-024-05693-4,0,0.0,0.0
"Li Z., 2024, Cell Communication and Signaling",10.1186/s12964-024-01569-y,0,0.0,0.0
"Liang T., 2024, Carbon Resources Conversion",10.1016/j.crcon.2024.100227,0,0.0,0.0
"Lim A., 2024, BMC Public Health",10.1186/s12889-024-18613-8,0,0.0,0.0
"Limaye R.J., 2024, BMC Pregnancy and Childbirth",10.1186/s12884-024-06425-y,0,0.0,0.0
"Limenh L.W., 2024, Scientific Reports",10.1038/s41598-024-58080-0,0,0.0,0.0
"Limsomwong P., 2024, BMC Palliative Care",10.1186/s12904-024-01419-1,0,0.0,0.0
"Lin K., 2024, BMC Primary Care",10.1186/s12875-024-02301-y,0,0.0,0.0
"Lindemann C.H., 2024, Trials",10.1186/s13063-024-08026-8,0,0.0,0.0
"Lindig A., 2024, BMC Pregnancy and Childbirth",10.1186/s12884-024-06453-8,0,0.0,0.0
"Liu D., 2024, Scientific Reports",10.1038/s41598-024-59204-2,0,0.0,0.0
"Liu X., 2024, BMC Endocrine Disorders",10.1186/s12902-024-01585-6,0,0.0,0.0
"Liu X., 2024, BMC Microbiology",10.1186/s12866-024-03271-y,0,0.0,0.0
"Liu Y., 2024, BMC Medical Informatics and Decision Making",10.1186/s12911-024-02481-8,0,0.0,0.0
"Liu Y., 2024, Cardiovascular Diabetology",10.1186/s12933-024-02199-x,0,0.0,0.0
"Lompo P., 2024, Antimicrobial Resistance and Infection Control",10.1186/s13756-024-01396-3,0,0.0,0.0
"Lood Q., 2024, BMC Health Services Research",10.1186/s12913-024-10793-8,0,0.0,0.0
"Lu Y., 2024, Health Economics Review",10.1186/s13561-024-00504-8,0,0.0,0.0
"Lubbe W., 2024, International Breastfeeding Journal",10.1186/s13006-024-00634-z,0,0.0,0.0
"Lungu E.A., 2024, BMC Public Health",10.1186/s12889-024-18127-3,0,0.0,0.0
"Luo F., 2024, BMC Health Services Research",10.1186/s12913-024-11036-6,0,0.0,0.0
"Luo J., 2024, Humanities and Social Sciences Communications",10.1057/s41599-024-02976-9,0,0.0,0.0
"Luo-Yng Tay K., 2024, Journal of Mammary Gland Biology and Neoplasia",10.1007/s10911-024-09560-6,0,0.0,0.0
"Luong Q.X.T., 2024, Scientific Reports",10.1038/s41598-024-52810-0,0,0.0,0.0
"Lusendi F.M., 2024, BMC Public Health",10.1186/s12889-024-18306-2,0,0.0,0.0
"Lyimo A., 2024, BMC Pregnancy and Childbirth",10.1186/s12884-024-06337-x,0,0.0,0.0
"Lyng H.B., 2024, BMC Health Services Research",10.1186/s12913-024-10985-2,0,0.0,0.0
"Lyu Y., 2024, BMC Public Health",10.1186/s12889-024-18338-8,0,0.0,0.0
"Ma W., 2024, BMC Public Health",10.1186/s12889-024-18255-w,0,0.0,0.0
"Ma X., 2024, BMC Infectious Diseases",10.1186/s12879-024-09221-3,0,0.0,0.0
"Ma X., 2024, BMC Public Health",10.1186/s12889-024-18731-3,0,0.0,0.0
"Maaß L., 2024, npj Digital Medicine",10.1038/s41746-024-01078-9,0,0.0,0.0
"Maddumabandara K., 2024, Journal of Medical Case Reports",10.1186/s13256-024-04481-8,0,0.0,0.0
"Maghalian M., 2024, Reproductive Health",10.1186/s12978-024-01792-3,0,0.0,0.0
"Mahadevan A., 2024, Journal of Medical Systems",10.1007/s10916-024-02051-5,0,0.0,0.0
"Mahdiani H., 2024, BMC Medical Ethics",10.1186/s12910-024-01036-w,0,0.0,0.0
"Mahdieh N., 2024, Human Genomics",10.1186/s40246-024-00598-5,0,0.0,0.0
"Mahgoub E.A.A., 2024, Conflict and Health",10.1186/s13031-024-00584-7,0,0.0,0.0
"Mahlknecht A., 2024, BMC Medical Education",10.1186/s12909-024-05205-8,0,0.0,0.0
"Mahmoud M., 2024, Scientific Reports",10.1038/s41598-024-55277-1,0,0.0,0.0
"Mahmoudi M., 2024, BMC Medical Education",10.1186/s12909-024-05384-4,0,0.0,0.0
"Mailepessov D., 2024, Scientific Reports",10.1038/s41598-024-60712-4,0,0.0,0.0
"Makwana M.N., 2024, BMC Health Services Research",10.1186/s12913-024-10885-5,0,0.0,0.0
"Malden D.E., 2024, Scientific Reports",10.1038/s41598-024-57633-7,0,0.0,0.0
"Malemo L.K., 2024, BMC Surgery",10.1186/s12893-024-02386-3,0,0.0,0.0
"Maliwichi L., 2024, Scientific Reports",10.1038/s41598-024-61216-x,0,0.0,0.0
"Malmgren J., 2024, Critical Care",10.1186/s13054-024-04890-7,0,0.0,0.0
"Mandla R., 2024, Genome Medicine",10.1186/s13073-024-01337-0,0,0.0,0.0
"Manirajan P., 2024, BMC Geriatrics",10.1186/s12877-024-04930-5,0,0.0,0.0
"Manoharan A., 2024, BMC Primary Care",10.1186/s12875-024-02342-3,0,0.0,0.0
"Mao C., 2024, Nutrition Journal",10.1186/s12937-024-00945-1,0,0.0,0.0
"Maqsood K., 2024, Discover Artificial Intelligence",10.1007/s44163-024-00103-w,0,0.0,0.0
"Abed Alah M., 2024, Conflict and Health",10.1186/s13031-024-00577-6,0,0.0,0.0
"Marie P., 2024, BMC Health Services Research",10.1186/s12913-024-11003-1,0,0.0,0.0
"Maris M.T., 2024, BMC Medical Ethics",10.1186/s12910-024-01042-y,0,0.0,0.0
"Marou V., 2024, Conflict and Health",10.1186/s13031-023-00568-z,0,0.0,0.0
"Martin S., 2024, BMC Medical Ethics",10.1186/s12910-024-01040-0,0,0.0,0.0
"Martinez-Rodrigo A., 2024, Health Information Science and Systems",10.1007/s13755-024-00292-9,0,0.0,0.0
"Martins C., 2024, BMC Medical Informatics and Decision Making",10.1186/s12911-024-02497-0,0,0.0,0.0
"Marzano L., 2024, Scientific Reports",10.1038/s41598-024-60888-9,0,0.0,0.0
"Maseko L., 2024, BMC Health Services Research",10.1186/s12913-024-10965-6,0,0.0,0.0
"Masrour M., 2024, BMC Neurology",10.1186/s12883-024-03647-7,0,0.0,0.0
"Mastoi Q.-U.-A., 2024, Scientific Reports",10.1038/s41598-024-60500-0,0,0.0,0.0
"Matava C.T., 2024, Journal of Medical Systems",10.1007/s10916-024-02060-4,0,0.0,0.0
"Matsubara Y., 2024, BMC Nursing",10.1186/s12912-024-01857-5,0,0.0,0.0
"Mattheus D.J., 2025, Guidelines for Nurse Practitioners in Gynecologic Settings, 13th Edition",,0,0.0,0.0
"Mayhew S.H., 2024, Conflict and Health",10.1186/s13031-024-00589-2,0,0.0,0.0
"Mazza G.R., 2024, BMC Pregnancy and Childbirth",10.1186/s12884-024-06471-6,0,0.0,0.0
"Mazzilli S., 2024, BMC Public Health",10.1186/s12889-024-18063-2,0,0.0,0.0
"McGowan D., 2024, BMC Health Services Research",10.1186/s12913-024-10788-5,0,0.0,0.0
"McNaught E., 2024, Trials",10.1186/s13063-024-07989-y,0,0.0,0.0
"Meakin S., 2024, BMC Medicine",10.1186/s12916-024-03369-0,0,0.0,0.0
"Meese K.A., 2024, BMC Public Health",10.1186/s12889-024-18363-7,0,0.0,0.0
